Country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,
Uruguay,1026.0,1134.542116839014,1254.550455583893,1387.2325869556344,1533.9224343190006,1696.0933121624716,1875.3722606294432,2073.555816009712,2292.6273342017535,2534.7759990276336,2802.4176839788383,3098.2178288018736,3425.1164655101275,3786.3555793397286,4185.509021719321,4626.515118857465,5113.712180702198,5651.87709772229,6246.267206584045,6902.665592046303,7627.430002237781,8427.54543799496,9310.680615627904,10285.248188414038,11360.468832176108,12546.439019941874,13854.202081708318,15295.822604047651,16884.462866750742,18634.46136449402,20561.411704186947,22682.240483193356,25015.283272194447,27580.354494680367,30398.81099464631,33493.603395535654,36889.31232922256,40612.16545387974,44690.02599670062,49152.351492023954,54030.10882239329,59355.64150429111,65162.477884092455,71485.06710395058,78358.43778423971,85817.75977159823,93897.80567795741,102632.29505592716,112053.1178726153,122189.42549594135,133066.59460828552,144705.057317011,157119.02637744456,170315.10426546907,184290.83925006926,199033.24776627385,214517.36016441442,230704.86015706352,247542.88491624003,264963.0744829123,282880.95721594524,301195.75629056816,319790.6951655061,338533.8699752036,357279.72510088293,375871.14196503337,394142.1241559662,411921.01176992455,429034.1158087272,445309.6521183234,460581.80738067423,474694.75212782744,487506.42091078917,498891.89758489287,508746.24065131415,516986.6371144991,523553.8204695391,528412.7042223845,531552.2520872288,532984.6428274899,532743.8150634127,530883.4869225189,527474.7934373568,522603.6638874852,516368.057830492,508875.17865746235,500238.76317903685,490576.53247353906,480007.840854388,468651.60615890246,456624.49677216366,444039.42543581163,431004.32972461206,417621.20975636836,403985.43895016535,390185.2923100702,376301.6727022694,362408.0181594438,348570.3456404583,334847.41553536744,321290.9888079764,307946.1533709895,294851.7045393129,282040.55652808835,269540.1763189352,257373.02655542572,245557.00449817968,234105.87529698553,223029.68987111983,212335.18084966886,202026.14407518404,192103.7893475019,182567.06752067592,173412.9743775816,164636.828860062,156232.52422568167,148192.758599381,140509.24060682635,133172.87491129985,126173.92685173587,119502.1688303259,113147.00941560675,107097.60661541458,101342.96688918173,95872.03072123977,90673.74706338384,85737.13567598317,81051.3414643417,76605.6792121195,72389.67127491189,68393.07798980993,64605.92248857922,61018.51015219595,57621.44340136855,54405.63256169738,51362.30317060611,48483.00031374971,45759.590323137,43184.26033023179,40749.51594776302,38448.17730043524,36273.37384061879,34218.53799685536,32277.398066619575,30443.970188041785,28712.550162864587,27077.704441009068,25534.26112698658,24077.300622812232,22702.14624982795,21404.354902496027,20179.70755694372,19024.20009546568,17934.034044231845,16905.607667601318,15935.507121213359,15020.497906217048,14157.516557751735,13343.662530218024,12576.190432637888,
New Zealand,1549.0,1712.8627264923853,1894.0325516212795,2094.3313563710153,2315.7714559587344,2560.575200747913,2831.196524478877,3130.344630947561,3461.010004827033,3826.4929055102866,4230.434685238498,4676.852008463,5170.17432070212,5715.28474474271,6317.564742806607,6982.942733951813,7717.946958546414,8529.76284093456,9426.29508979118,10416.234747348914,11509.1314068028,12715.470630329837,14046.756751258416,15515.600980585003,17135.814507345498,18922.5067355956,20892.18736582733,23062.87254906742,25454.193205154108,28087.504342640357,30985.994249265023,34174.789154788974,37681.05338369403,41534.07780432701,45765.354533936246,50408.63183946164,55499.93981618544,61077.58543873041,67182.0969697587,73856.12008716076,81144.24481550681,89092.7504099774,97749.2581869101,107162.27342912748,117380.60120361218,128452.6196599248,140425.3977688591,153343.64284211525,167248.4698168355,182175.9893166069,198155.71585875849,215208.81039890647,233346.1852569505,252566.5030433184,272854.1267876346,294177.09779940953,316485.21833428263,339708.34411669115,363755.00708867697,388511.4841585292,413841.4274768597,439586.1808394776,465565.86259832117,491581.2792110058,517416.7029244819,542843.4749626708,567624.3407482866,591518.4321467739,614286.6834365093,635697.4377040992,655532.0580512824,673590.2338500344,689694.7737492399,703695.6560216957,715473.1713376039,724940.0435268122,732042.4758626153,736760.1323544156,739105.1220258491,739120.0916311055,736875.5832454991,732466.8401867421,726010.1917193844,717639.2424414844,707501.0088994289,695752.1290536701,682555.2822974338,668075.8934191972,652479.186014827,635927.6230724873,618578.7493932763,600583.4342525847,582084.4919977078,563215.6685463308,544100.9396546904,524854.0964523932,505578.58069286286,486367.5174020186,467303.9212577941,448461.0363707229,429902.7758457174,411684.2392396227,393852.27955392416,376446.10121198086,359497.87249294616,343033.33764745446,327072.41899367655,311629.7994516234,296715.48010280496,282335.30807189696,268491.4711430782,255182.9585354666,242405.98627143397,230154.38721208417,218419.96720904915,207192.8277262497,196461.65670823728,186213.98974387156,176436.44283572558,167114.919068449,158234.79195077327,149781.06444126111,141738.51025395904,134091.79458187852,126825.5797867066,119924.61451853297,113373.81056653551,107158.30670844109,101263.52238828302,95675.20146028408,90379.44772654668,85362.75285194025,80612.01787886227,76114.56906440707,71858.16867477776,67831.02162060456,64021.77831348271,60419.53450471491,57013.828234854904,53794.63496085159,50752.360303566056,47877.83168979145,45162.288398848905,42597.370892846775,40175.10919408735,37887.91071198564,35728.54772133597,33690.14440945292,31766.16398626345,29950.39548147564,28236.940862869098,26620.20200582593,25094.86804526809,23655.902803770747,22298.532595084045,21018.234275758023,19810.723639780324,18671.944174452383,17598.056098699406,16585.425988165644,
Netherlands,51572.0,56989.47707445892,62967.58317164036,69562.46415754771,76835.4750832653,84853.57148791416,93689.70858132183,103423.2425659722,114140.32723262109,125934.29542058268,138906.01406793518,153164.1978242838,168825.66300470135,186015.50003730945,204867.13829105842,225522.27276450134,248130.61660556437,272849.4369762194,299842.83368306566,329280.7040626609,361337.34022641386,396189.60269131436,434014.6096683707,474986.88467099424,519274.910923154,567037.0448092326,618416.7726718877,673537.2923575189,732495.4473901985,795355.096105227,862139.9924299894,932826.3550111672,1007335.3812465675,1085525.928463506,1167187.7381467007,1252035.6384282224,1339705.0822563428,1429749.517968878,1521640.0490561419,1614767.7036455923,1708448.6794202758,1801932.7267875802,1894414.564538354,1985048.3528849343,2072964.725572331,2157289.7361375922,2237165.1646443387,2311769.156650353,2380336.364869313,2442176.6203427757,2496691.289799211,2543386.6109721223,2581883.42135768,2611923.0911346977,2633369.4113940103,2646206.6856584637,2650534.4023585888,2646558.8066314035,2634582.1163396854,2614990.0045766826,2588237.9455049867,2554837.081995506,2515340.187953092,2470328.176374976,2420397.4848259497,2366148.7366350777,2308176.6387149803,2247061.4963486874,2183361.992851054,2117609.7186080166,2050304.7255834092,1981912.5285399505,1912862.1569126633,1843545.1400186527,1774315.344386642,1705489.4696739088,1637348.0913944393,1570137.1303877372,1504069.6225676984,1439327.7365020376,1376064.9023099567,1314408.0572160685,1254459.8513626482,1196300.9003773069,1139991.915229692,1085575.788417022,1033079.5660027652,982516.2884715222,933886.7384767574,887181.0240002667,842380.064042257,799456.9270501717,758378.0538029401,719104.3642591948,681592.2441983218,645794.4361884287,611660.8238199487,579139.1304800098,548175.531601827,518715.1911014172,490702.72776344017,464082.61776697123,438799.5411565324,414798.6797988888,392025.956907828,370428.2552480172,349953.58600423695,330551.21754235326,312171.79509442166,294767.4292531525,278291.75915812893,262699.9882567346,247948.92175589054,233996.97903658793,220804.1982171875,208332.2243105107,196544.29751332838,185405.22568942836,174881.35804424642,164940.54860108715,155552.12020906023,146686.8206400519,138316.78096508098,130415.4687891306,122957.642962807,115919.30518684754,109277.65346972611,103011.0339127993,97098.89416920475,91521.73649801506,86261.07235968167,81299.37733679442,76620.04756684748,72207.3571150435,68046.41672811683,64123.13385636215,60424.17401663216,56936.923628639015,53649.4541216451,50550.487606369854,47629.36376956037,44876.008304974086,42280.90258850675,39835.05493252891,37529.97258811863,35357.63570335273,33310.47205001469,31381.333139168917,29563.47148527334,27850.518835184546,26236.46570707136,24715.641751045285,23282.697225566495,21932.585379020256,20660.545739915302,19462.0882881189,18332.97843890399,17269.22282365099,16267.055848591857,15322.92693717328,
Tanzania,509.0,562.884790233694,622.4738022895989,688.3708290736904,761.24356290826,841.8303578654778,930.947700082002,1029.4984747180129,1138.4811043856894,1258.9996485542667,1392.274972456087,1539.6571056673395,1702.6388906965262,1882.8710699681071,2082.1789797196343,2302.5809942130218,2546.308915496866,2815.8305119038787,3113.874433264434,3443.4577447273223,3807.9163465625975,4210.938617832909,4656.602578634956,5149.416933624028,5694.366457608307,6296.9621099934975,6963.296376704322,7700.10444640821,8514.83171866868,9415.7083458914,10411.831589031379,11513.256640027383,12731.096877897637,14077.634543666472,15566.442714123117,17212.519869841257,19032.43828601366,21044.507442351947,23268.954145146323,25728.120871330164,28446.683954949094,31451.893766972644,34773.83871150593,38445.73520032016,42504.2462394983,46989.83080209655,51947.12659459684,57425.3697545036,63478.85347994988,70167.42896326036,77557.05228338795,85720.37967342982,94737.41503521439,104696.21251940377,115693.63687599824,127836.18503053073,141240.8699618429,156036.1700437921,172363.04272622432,190376.00412264135,210244.27129235407,232152.96360461946,256304.3588592611,282919.1907266003,312237.9817701137,344522.38513924973,380056.5243613378,419148.28600644297,462130.54669208336,509362.27611860965,561229.4585532092,618145.7743463874,680552.9526181149,748920.7000482308,823746.0930485933,905552.3060231279,994886.5275879673,1092316.9019165572,1198428.318138281,1313816.8570349456,1439082.7029536632,1574821.3198257436,1721612.7153852219,1880008.6374155802,2050517.5742993283,2233587.5323240445,2429586.6157783214,2638781.54556386,2861314.453325743,3097178.3758221073,3346192.0966642653,3607975.238654109,3881924.598482364,4167193.005382452,4462672.103097463,4766980.478775242,5078458.747206936,5395172.766572592,5714926.345327414,6035284.179431568,6353605.076245072,6667085.689073079,6972813.350750864,7267826.641024483,7549181.632602507,7814020.793175916,8059641.983061656,8283563.9356986545,8483585.765214885,8657837.439568583,8804819.066594277,8923428.169046866,9012973.251149248,9073174.594962385,9104152.657311017,9106405.333933335,9080776.231196905,9028415.538799476,8950736.263682261,8849367.392533708,8726106.326383987,8582872.384164736,8421662.36672637,8244509.870355982,8053448.700984475,7850481.008985756,7637550.428060999,7416520.036210542,7189155.136741818,6957110.344169068,6721920.717721101,6484996.434802973,6247620.437329571,6010948.72895913,5776012.725878442,5543723.282756144,5314876.048474808,5090157.725473794,4870153.004068343,4655351.893384403,4446157.230331585,4242892.21690192,4045807.824067082,3855089.99748925,3670866.5105922483,3493213.5151630915,3322161.627555216,3157701.6657690685,2999789.874754718,2848352.8038836485,2703291.678412789,2564486.4400506164,2431799.3243412287,2305078.1318492847,2184159.0951619972,2068869.470692723,1959029.7927291014,1854455.8818415266,1754960.5797301303,1660355.2710180946,
Sierra Leone,1678.0,1855.553391493649,2051.8747266956516,2268.943504917057,2508.9470437234336,2774.302087848712,3067.6785973791953,3392.025966765659,3750.601879384154,4147.004041537163,4585.205079982422,5069.590931745545,5605.002948452149,6196.784094538446,6850.829635502894,7573.642629816033,8372.394639422542,9254.992071890998,10230.148571717307,11307.463892705904,12497.5096674929,13811.922535749733,15263.504977690709,16866.33427289885,18635.879822605355,20589.12920467401,22744.72285083851,25123.097606713287,27746.63877662401,30639.84005446539,33829.471189624375,37344.75116040275,41217.52634166798,45482.45095333005,50177.16601224191,55342.47528359315,61022.51037463671,67264.88139154951,74120.80576477868,81645.20290086899,89896.75017345902,98937.88120122357,108834.71483583363,119656.90034342342,131477.35087404968,144371.8555344528,158418.5364028402,173697.12881850722,190288.06296344774,208271.3106346988,227724.98447557382,248723.65614109044,271336.389063678,295624.4645278742,321638.8163825764,349417.1862755361,378981.048009439,410332.31814789784,443450.0081930528,478286.86255179474,514766.1529546643,552778.7900971924,592180.9351805872,632792.3018576629,674395.3587295557,716735.6185116312,759523.1654258788,802435.5411831735,845122.0419295197,887209.3951584017,928308.6941467132,968023.4156053752,1005958.2178208437,1041728.1666111569,1074967.9904103735,1105340.9692943986,1132547.0226051102,1156329.64046655,1176481.3796524205,1192847.6988867905,1205329.027830727,1213881.0737007954,1218513.469716567,1219286.898866321,1216308.959685256,1209729.044007006,1199732.5164204834,1186534.4711309432,1170373.358054103,1151504.7026358042,1130195.130847251,1106716.8215082888,1081342.5532860751,1054341.3233050662,1025974.7047357116,996493.7496841212,966136.6888076793,935127.0736618892,903672.5453630455,871964.0729666648,840175.5860870782,808463.9794874119,776969.3982687924,745815.7558453698,715111.4324155167,684950.1011150214,655411.651040363,626563.1629821449,598459.9217547945,571146.415208047,544657.3442849339,519018.579752646,494248.094756536,470356.8459917548,447349.5951655881,425225.6866759531,403979.7539658148,383602.3780522947,364080.684495661,345398.8849251426,327538.76917424647,310480.14299479016,294201.2225698865,278678.9831970418,263889.467372251,249808.057509445,236409.7128469123,223669.1755992065,211561.14953052343,200060.45260057517,189142.14758179174,178781.65108993094,168954.82582992152,159638.05539219835,150808.30578923435,142443.17381845778,134520.92451986065,127020.51923120038,119921.63461476014,113204.67570549881,106850.78133077935,100841.82410658179,95160.4073753362,89789.8576381439,84714.21268852035,79918.20917794928,75387.26551374898,71107.46569440226,67065.53953660282,63248.8433002315,59645.33888283958,56243.57277915962,53032.654570391496,50002.23549982079,47142.48702529331,44444.079389426726,41898.16062973338,39496.33581052118,37230.64689711996,35093.55269826976,
Suriname,904.0,999.3540453961789,1104.6897645194156,1221.035094867264,1349.5200735164276,1491.3861411107541,1647.996096086589,1820.8447175496208,2011.5700291945122,2221.9651788287606,2453.99088110768,2709.7883411053144,2991.6925341834244,3302.245737849812,3644.2109933492557,4020.5853308969413,4434.612378945486,4889.793936024998,5389.899884998497,5938.97592712498,6541.348309482842,7201.624711352948,7924.689623777947,8715.694199478807,9580.037820126267,10523.340569408025,11551.404645367034,12670.162806566945,13885.611907469698,15203.729550203097,16630.3720902017,18171.15168414497,19831.292263359854,21615.462607148093,23527.587195177955,25570.635786416184,27746.394513038063,30055.222436727112,32495.79973572258,35064.87554394799,37757.02578321425,40564.43277634461,43476.70049286378,46480.72034357108,49560.602599110585,52697.687651982145,55870.64933244386,59055.69955989755,62226.89863651546,65356.56969516308,68415.80928852122,71375.08060563379,74204.86781349132,76876.36561435883,79362.173931034,81636.96723955825,83678.1072612151,85466.17098564409,86985.3715197119,88223.85629175862,89173.87299564734,89831.80257702558,90198.0659491833,90276.9170548675,90076.13962986848,89606.66731837564,88882.15028107885,87918.4896848767,86733.3604123768,85345.7398476944,83775.45825408843,82042.7834864283,80168.04482428663,78171.30550336599,76072.08509806165,73889.13011028603,71640.23290634132,69342.09650759563,67010.2391416658,64658.935116977686,62301.187769855955,59948.72828785168,57612.036538830114,55300.37953742931,53021.86315399069,50783.49402942759,48591.248409000895,46450.14467848372,44364.319415794984,42337.1024827674,40371.09141778049,38468.22441065067,36629.849104780675,34856.788822815215,33149.4043319044,31507.65131502945,29931.133984929278,28419.15377106188,26970.75415895504,25584.7612670762,24259.820369817633,22994.42888071596,21786.96562644363,20635.716965897307,19538.89984986695,18494.682013067835,17501.19980711724,16556.573530815822,15658.920714420941,14806.367555266872,13997.058569642248,13229.164824009209,12500.890678060527,11810.479468170635,11156.217980556452,10536.440117625923,9949.52963307015,9393.922230481694,8868.106975466706,8370.627209405951,7900.080976770456,7455.121056298681,7034.454669041615,6636.842873514651,6261.099762301356,5906.091414666926,5570.734743477218,5253.996155368302,4954.890171995602,4672.477913397786,4405.86558771614,4154.202884390741,3916.6814029956404,3692.533020414197,3481.02831076722,3281.474932788237,3093.216076952984,2915.6289063336526,2748.1230697285173,2590.1391931941143,2441.147476106218,2300.646280273477,2168.1607995757786,2043.24174620673,1925.4641058405277,1814.4259276853484,1709.7471669622369,1611.0685746551326,1518.0506304644525,1430.3725274995343,1347.7311935807156,1269.840366389618,1196.4297021696914,1127.243933669482,1062.0420614351287,1000.5965924131485,942.6928072020988,888.1280662004186,836.711155663892,788.2616600295335,
Djibouti,4993.0,5515.314608432623,6090.89418600874,6724.867996042453,7422.792636946788,8190.672740396219,9034.9790259125,9962.66258395829,10981.164043960996,12098.416022118798,13322.83691389148,14663.31389277885,16129.172572360158,17730.13053195445,19476.23153973859,21377.757463128488,23445.113690808565,25688.685257560595,28118.65985744588,30744.814833585817,33576.26577546535,36621.1753690573,39886.42261066882,43377.23440957488,47096.78402490834,51045.76369183353,55221.942125817084,59619.72122267726,64229.70998790827,69038.33723852907,74027.5275532605,79174.4668665987,84451.48456637633,89826.07757889113,95261.09809443199,100715.12074353243,106142.99659637235,111496.59106402812,116725.6911910463,121779.05586949861,126605.57128725953,131155.46461096845,135381.52255892,139240.25894363975,142692.97687163833,145706.67702791412,148254.77282630609,150317.58525710102,151882.60382196147,152944.51373014992,153505.00293117788,153572.37014616112,153160.97107830967,152290.53432090938,150985.38894377256,149273.6420638294,147186.3421837938,144756.65920769938,142019.10549754652,139008.81974709424,135760.92664923635,132309.98057104961,128689.49691749274,124931.57018037041,121066.57563471091,117122.94870953368,113127.03438503182,109102.99840168831,105072.79129459323,101056.15708538682,97070.67843643654,93131.85324883598,89253.18412513769,85446.29670794215,81721.05905815764,78085.71276313708,74547.00381233291,71110.31438730053,67779.7924234637,64558.47666880545,61448.41588692071,58450.781962582754,55565.97561239751,52793.724317088345,50133.17345120353,47582.96883568175,45141.3325136526,42806.130935889014,40574.93696257141,38445.08460475531,36413.71847147775,34477.83725362682,32634.33211296506,30880.020394146803,29211.67494151558,27626.049560826475,26119.90090410631,24690.00715027857,23333.183987069282,22046.29764239953,20826.27619225021,19670.11835204536,18574.900810180778,17537.78401815869,16556.016163625274,15626.936820041064,14747.978449946391,13916.668175454006,13130.627790300434,12387.573834127274,11685.316744396618,11021.759573318834,10394.896608803541,9802.811157706905,9243.673726559044,8715.739346730616,8217.345303439215,7746.908343387445,7302.9220328126785,6883.9540035331565,6488.643086347889,6115.696637168845,5763.8876157954355,5432.051968658019,5119.08581038513,4823.942840054451,4545.63170597365,4283.213481886293,4035.799231222756,3802.547586718711,3582.662498735937,3375.3909680168317,3180.020948892171,2995.8792669052955,2822.329663407674,2658.770901218332,2504.6349519469773,2359.3852769263467,2222.5151619771123,2093.5461551845647,1972.0265530151491,1857.5299772356725,1749.6540074267361,1648.0188891514474,1552.2663042191414,1462.058192249073,1377.0756486050832,1297.0178674333706,1221.6011425189429,1150.5579207361304,1083.6359030438396,1020.5971943327264,961.2174988608333,905.285357849823,852.6014268940323,802.9777967587637,756.237345278998,712.2131285703485,670.7478053892124,631.6930893261106,
Lithuania,1902.0,2103.019659634731,2325.2122379118496,2570.7916774197165,2842.1998260866994,3142.1291081804056,3473.5472420766446,3839.7242058266993,4244.261563870933,4691.124317498552,5184.6753681689825,5729.712876733807,6331.510399971854,6995.860086596283,7729.118848956447,8538.257606496047,9430.913476202844,10415.444788092083,11500.988639300213,12697.520645210703,14015.916325258131,15468.013422995438,17066.67397385515,18825.845201867094,20760.617333390375,22887.276278671226,25223.349079402422,27787.638675546757,30600.244345950836,33682.56410773278,37057.273386804314,40748.274130456804,44780.60862466112,49180.32964946692,53974.31896993494,59190.04646613232,64855.259570205344,70997.59446634528,77644.10090495438,84820.67169055932,92551.3726224838,100857.66846325209,109757.54514988858,119264.53755136045,129386.66945374072,140125.327384,151474.10200089068,163417.62171866655,175930.44545943916,188976.03955711692,202505.94113510128,216459.1424800674,230761.78395311942,245327.216046742,260056.4873792324,274839.2982598427,289555.4411231128,304076.72091079806,318269.31893195584,331996.533565181,345121.80046647147,357511.8745136091,369040.0364437341,379589.1780371802,389054.62535058,397346.57261320646,404392.02383910544,410136.1656275461,414543.13216192427,417596.15878783376,419297.15320281824,419665.7435228111,418737.87858904945,416564.0758425868,413207.4344987163,408741.47393936175,403247.9373918545,396814.6188305286,389533.2815027455,381497.73718154663,372802.1125482932,363539.3309321983,353799.82326668786,343670.46723807807,333233.7482587894,322567.1235937796,311742.58422576665,300826.3737021116,289878.8616441758,278954.5326273942,268102.08136987867,257364.58782078032,246779.75272911892,236380.18407982084,226193.7119933198,216243.72629874348,206549.52360093608,197126.6564054583,187987.27774461292,179140.4759367602,170592.59621464316,162347.5450120741,154407.07720536855,146771.06273856654,139437.73416385025,132403.91375139222,125665.22076124385,119216.26019025207,113050.79244580297,107161.88642004684,101542.0558167,96183.38045130561,91077.61362896595,86216.27632571137,81590.73978666683,77192.29733318186,73012.22636905817,69041.84126422502,65272.53896290155,61695.836960952205,58303.405339834404,55087.092844924264,52038.94832601082,49151.23760228299,46416.4565750236,43827.340995719154,41376.87326863506,39058.28678692374,36865.06802345402,34790.95689513642,32829.94538365897,30976.27497579576,29224.432847858094,27569.147278293938,26005.382199483494,24528.331176940166,23133.41091735031,21816.2544617873,20572.70404813276,19398.803830658864,18290.792498838666,17245.095846247885,16258.319354112698,15327.240823583159,14448.803108877233,13620.10695926158,12838.404031700424,12101.090048158774,11405.698153822541,10749.892465587545,10131.461827323134,9548.31375271355,8998.46866432426,8480.054249187588,7991.300096294066,7530.532549644019,7096.169729871732,6686.716844050923,6300.761629992061,5936.970048683096,
Saudi Arabia,243238.0,268566.6748695912,296440.6383914765,327095.44999444287,360784.0397372382,397776.99198002304,438362.57032015605,482846.4133452002,531550.8185540385,584813.5201271547,642985.8570496364,706430.2153412723,775516.621283843,850618.3567066886,932106.4781295087,1020343.0968895484,1115673.338025582,1218415.8885470221,1328852.1007010331,1447213.672201157,1573668.9985024803,1708308.3867383809,1851128.4314240897,2002015.97737701,2160732.2295490922,2326897.704067807,2499978.838129025,2679277.1740662293,2863922.0886447877,3052868.0357429334,3244897.1941920994,3438628.252121327,3632531.811211879,3824952.564956298,4014138.0108503974,4198273.022670161,4375519.181400329,4544057.371191963,4702131.83975178,4848093.736205246,4980442.097821248,5097860.36976607,5199246.8012156,5283737.442005642,5350720.928686922,5399844.752232306,5431013.203842398,5444377.579590598,5440319.700142874,5419429.983055053,5382481.391928238,5330400.732067572,5264238.658587702,5185139.6272177035,5094312.849092178,4993005.0971829165,4882475.944514932,4763975.911576516,4638727.7263306435,4507910.757004759,4372648.549889488,4233999.282780779,4092948.947074986,3950406.9140028516,3807203.6559741823,3664090.0114118718,3521738.2830275944,3380744.3229402364,3241630.518626091,3104849.5793760405,2970788.7315958003,2839774.268535622,2712076.2584130494,2587913.300340908,2467457.2336665443,2350837.7249427126,2238146.6738711,2129442.406480989,2024753.618173156,1924083.0395933492,1827410.8432366212,1734697.7710756278,1645887.9876401946,1560911.6709703244,1479687.3538174327,1402124.022307009,1328122.992443429,1257579.5724060407,1190384.537571388,1126425.42226565,1065587.6610459476,1007755.5503617261,952813.1209712992,900644.8477135691,851136.2728176675,804174.5345560265,759648.7862127521,717450.5721035639,677474.1032382417,639616.4931848568,603777.9388729548,569861.8435487649,537774.9206560064,507427.2422355394,478732.2721779333,451606.8701873778,425971.2690935114,401749.0452414669,378867.06157636864,357255.40738784947,336847.32441599254,317579.12313502975,299390.09809087,282222.43200208753,266021.10157327825,250733.77851988387,236310.72900113376,222704.7148417593,209870.89191070377,197766.71195443248,186351.82425660794,175587.9792289242,165438.93484273885,155870.3642933446,146849.7668833318,138346.38110714563,130331.10182497281,122776.3984460274,115656.2375545464,108946.00764795576,102622.44748088018,96663.5768332405,91048.63061092621,85757.9955231082,80773.149785535,76076.60543058721,71651.85342339422,67483.31111077104,63556.27271978025,59856.86211692483,56371.98655004453,53089.29554278392,49997.13867619227,47084.5280521133,44341.101532821966,41757.0872068564,39323.27214472046,37030.969549294205,34871.98999721932,32838.61366714867,30923.564195967872,29119.98288949906,27421.405654315306,25821.74040716297,24315.24626716714,22896.513239170683,21560.44371873511,20302.234357541194,19117.359541646645,18001.555268292406,
Turkey,216873.0,239692.14201975198,264881.80138697824,292681.47930044663,323353.3791639881,357184.22563798126,394487.15151531855,435603.6363286433,480905.47352202266,530796.7330527114,585715.67940823,646136.5933321039,712571.4322389954,785571.2503987501,865727.2825669001,953671.56554672,1050076.9798140693,1155656.531789968,1271161.6981576297,1397379.6179736867,1535128.8994230288,1685253.7796338408,1848616.3619902702,2026086.6408597135,2218530.032943472,2426792.1168431486,2651680.3816513084,2893942.768132498,3154242.920362882,3433132.2240898022,3731018.762824433,4048133.6140665705,4384495.234990797,4739872.708509565,5113749.1220060075,5505286.720180418,5913295.526580344,6336207.402961461,6772057.927443986,7218478.17995247,7672698.3699589195,8131565.326764551,8591574.774267854,9048919.00585217,9499549.986307256,9939255.279097512,10363746.89725693,10768757.171928924,11150139.741565598,11503970.328246664,11826642.867910683,12114956.667170519,12366190.544800999,12578160.883010423,12749261.367248394,12878483.395294003,12965417.238839885,13010235.107794948,13013657.857974187,12976908.766704796,12901656.218045551,12789949.568505675,12644150.813700868,12466865.110107973,12260872.853343798,12029065.193525644,11774384.633212546,11499771.989050977,11208120.244590398,10902235.650551591,10584806.005985444,10258375.803332405,9925327.93188112,9587871.037589768,9248031.993337024,8907653.003533501,8568392.009423377,8231726.624398375,7898959.9326426,7571228.6452745125,7249512.177069854,6934642.922959913,6627316.921255208,6328104.845265999,6037462.94934952,5755743.851553773,5483206.930514369,5220028.362824896,4966310.429146367,4722090.485330807,4487349.052662428,4262017.52871548,4045985.0277656,3839104.8166879187,3641199.985921421,3452068.6827432658,3271488.711304632,3099221.69804532,2935016.7470447514,2778613.6863271063,2629745.911502013,2488142.863421359,2353532.187605053,2225641.5810184996,2104200.3839786947,1988940.92644784,1879599.6754727764,1775918.1322037631,1677643.6592996577,1584530.049514413,1496338.0552357456,1412835.7440037325,1333798.7642618567,1259010.5638511113,1188262.451334009,1121353.6958799346,1058091.4716833178,998290.8340785101,941774.6091337061,888373.262070843,837924.7604751637,790274.3688681844,745274.4851501547,702784.4057134665,662670.1260577791,624804.1063610353,589065.0411995196,555337.6350526771,523512.3559749224,493485.21798887826,465157.5380568798,438435.718467035,413231.0194453293,389459.34198462684,367041.0186065089,345900.6018026762,325966.67023413174,307171.62993049086,289451.5316483693,272745.88894725795,256997.50577567058,242152.31141234777,228159.19943308242,214969.8774902217,202538.71955331985,190822.62805837984,179780.9001435027,169375.10106995984,159568.94364228006,150328.17265911264,141620.45605347017,133415.28029140996,125683.85203993868,118399.00399165715,111535.10548045699,105067.97835348289,98974.81661765379,93234.11047010696,87825.57430688046,82730.0785428676,
