Country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,
Uruguay,32.0,140.61511985902584,260.72000548004047,393.5282391496238,540.3811740816438,702.7612963329755,882.3069549576836,1080.828617069834,1300.3267843114738,1543.0117241971275,1811.3252178887647,2107.9645206551736,2435.9087079837627,2798.4476490777806,3199.2138899783513,3642.217663307845,4131.88532504099,4673.101521127857,5271.255399698361,5932.291214132405,6662.763630736721,7469.898214451631,8361.657316920455,9346.811908842788,10435.019608381068,11636.90939074212,12964.173250287527,14429.665222689531,16047.50795289683,17833.207117041427,19803.77376927377,21977.8544886554,24375.86955000241,27020.158016336758,29935.130087420443,33147.42487664067,36686.07263863186,40582.660309555366,44871.496134112276,49589.77338295704,54777.72618602647,60478.77534512599,66739.65842779928,73610.53484131387,81145.0640546264,89400.44073877632,98437.38398363478,108320.06545742869,119115.96399408056,130895.63913682452,143732.40205382326,157701.8802295641,172881.4538352634,189349.5638110377,207184.8718041772,226465.27454045616,247266.7721066764,269662.19065394846,293719.7780035942,319501.68944949895,347062.3936510035,376447.0390649411,407689.82286919927,440812.41973216675,475822.5295623939,512712.60347343417,551458.8099520743,592020.2998626039,634338.8162386246,678338.6854369163,723927.213840307,770995.4928251435,819419.5936472656,869062.1281814771,919774.1229021486,971397.1429980063,1023765.5948307358,1076709.1360517945,1130055.1080951304,1183630.9190546514,1237266.3122373386,1290795.4599982898,1344058.8371545875,1396904.8436938487,1449191.1563888467,1500785.7973906687,1551567.9286815224,1601428.3748677867,1650269.9107617554,1698007.3146087483,1744567.232972853,1789887.8746151205,1833918.5693049019,1876619.2170644635,1917959.652871142,1957918.9557312035,1996484.717427197,2033652.2956721133,2069424.0646137614,2103808.673473882,2136820.3305160096,2168478.1142193107,2198805.319312145,2227828.8457240085,2255578.6276897653,2282087.107420079,2307388.7546803416,2331519.628518589,2354516.982626794,2376418.912869712,2397264.040732739,2417091.2364421566,2435939.376456395,2453847.1308363727,2470852.7802209347,2486994.060982649,2502308.032731182,2516830.9690646594,2530598.2672597216,2543644.37570334,2556002.7372931535,2567705.746552272,2578784.7186226295,2589269.869176681,2599190.303710862,2608574.0145591637,2617447.8851489495,2625837.699976991,2633768.159252953,2641262.898140228,2648344.509153522,2655034.567533834,2661353.658528762,2667321.406744513,2672956.506484257,2678276.753174957,2683299.075325954,2688039.566833892,2692513.5192725915,2696735.4540136973,2700719.15417439,2704477.6959593478,2708023.479529175,2711368.2590513276,2714523.172254312,2717498.7687221672,2720305.0377890524,2722951.4352258574,2725446.9091640646,2727799.9250000436,2730018.489296347,2732110.172916516,2734082.1330117946,2735941.134264397,2737693.569066584,2739345.4769189074,2740902.562884497,2742370.2151968437,2743753.5220959,2745057.287801283,
New Zealand,22.0,185.98091440327673,367.3074304716059,567.8112877344553,789.5169880315229,1034.6619272049754,1305.7185929560194,1605.4190467704561,1936.7819088423432,2303.142034313186,2708.1832931295926,3155.97455954158,3651.009350046892,4198.249361895587,4803.172366258654,5471.824760648444,6210.879230350219,7027.697953967744,7930.401826115286,8927.946169619234,10030.203418409621,11248.053425659815,12593.481720389404,14079.686435467924,15721.194329907255,17533.98645081643,19535.633859400208,21745.443870154748,24184.61708914088,26876.415333470894,29846.340802438917,33122.325590654356,36734.93213010991,40717.56257542486,45106.67673225636,49942.016876098896,55266.8355428971,61128.12664428938,67576.85018072084,74668.15252030452,82461.57149029762,91021.21912335102,100415.93521840595,110719.40054009872,122010.19783898236,134371.80582447804,147892.51377607454,162665.23844642693,178787.22559767676,196359.61911522344,215486.87898681386,236276.03016868496,258835.7278279882,283275.1261372028,309702.5419440573,338223.91427513777,368941.06432718725,401949.77082193666,437337.6903737776,475182.16271207214,515547.9450354265,558484.9443914136,604026.0239972267,652184.9538972956,702954.5998099663,756305.4358220595,812184.4549249371,870514.5492673875,931194.4160287923,994099.022873399,1059080.6325231611,1125970.3880469583,1194580.3998895693,1264706.2850225382,1336130.0669342175,1408623.3412886634,1481950.6016212376,1555872.6158575856,1630149.750527358,1704545.1464118797,1778827.6639971114,1852774.5331386637,1926173.661789118,1998825.5652309216,2070544.9098127189,2141161.6718828212,2210521.9226173237,2278488.2676784936,2344939.9724340606,2409772.8095980315,2472898.668790401,2534244.9700501724,2593753.9222602025,2651381.6538795754,2707097.265827483,2760881.8252665857,2812727.3288492905,2862635.66270023,2910617.5729971444,2956691.66465928,3000883.439545931,3043224.382919695,3083751.1049948297,3122504.5406477666,3159529.210753136,3194872.5449860836,3228584.2655923404,3260715.8312929603,3291319.9381944784,3320450.0754202954,3348160.1324755633,3374504.054315232,3399535.5411945013,3423307.7896313593,3445873.2706721355,3467283.542464572,3487589.093678217,3506839.21458699,3525081.893095787,3542363.7328271135,3558729.890587028,3574224.0316199083,3588888.2993573053,3602763.298635197,3615888.090172894,3628300.1949269627,3640035.606772059,3651128.8121570833,3661612.8158831545,3671519.171389118,3680878.0154403965,3689718.1057144008,3698066.8610950145,3705950.4035029383,3713393.6014565015,3720420.114176193,3727052.4364092783,3733311.943157501,3739218.934599932,3744792.6799939587,3750051.4616701463,3755012.6177012376,3759692.5840325244,3764106.935257966,3768270.4244584264,3772197.0218197205,3775899.951918828,3779391.7298822952,3782684.1960384375,3785788.549498167,3788715.3801581506,3791474.699640777,3794075.9707668223,3796528.1358794128,3798839.6438333183,3801018.4758145623,3803072.169968897,3805007.844867548,3806832.221921358,3808551.646558826,
Netherlands,6156.0,11613.733792702013,17644.380161388013,24307.137660056265,31667.11338710397,39795.86697966371,48771.99434195047,58681.75180063707,69619.71829754586,81689.50279823484,95004.48144108117,109688.57278879601,125877.0411546925,143717.32125287794,163369.85507151872,185008.92871510066,208823.49334951252,235017.95006328143,263812.87686831737,295445.66716647334,330171.04517752375,368261.42049508955,410007.0345438354,455715.8477237573,505713.1092943708,560340.5526599413,619955.1386998972,684927.2954708663,755638.5758155161,832478.675582888,915841.7610079707,1006122.0579136636,1103708.6951192024,1208979.7958937571,1322295.8511693373,1443992.4722465752,1574372.613123505,1713698.4234069106,1862182.9692526364,2019982.039472692,2187186.3126846487,2363814.2301345174,2549805.8678622902,2745018.092235816,2949221.306925289,3162098.0519085247,3383243.528056872,3612168.238830051,3848302.661770457,4091003.892456346,4339564.057609556,4593220.216690686,4851165.45674641,5112560.730668798,5376547.127021263,5642258.126131479,5908831.477343719,6175420.398047078,6441203.78497046,6705395.254053867,6967250.867436052,7226075.437905144,7481227.427763318,7732122.440621471,7978235.424736593,8219101.643546669,8454316.59100421,8683534.931739783,8906468.723223653,9122884.880446149,9332602.278899187,9535488.395533606,9731455.720100714,9920458.038371641,10102486.63792044,10277566.537989125,10445752.798518278,10607126.952537056,10761793.61807354,10909877.275055604,11051519.274197774,11186875.044561235,11316111.56052937,11439404.987787576,11556938.59159398,11668900.831043724,11775483.66698191,11876881.06501594,11973287.6691154,12064897.654478142,12151903.72529982,12234496.260630904,12312862.585890902,12387186.363207908,12457647.085748818,12524419.66794815,12587674.118455913,12647575.288502716,12704282.6865834,12757950.348952504,12808726.763711898,12856754.83691494,12902171.895160167,12945109.711227855,12985694.591805654,13024047.439445233,13060283.861695759,13094514.3110347,13126844.202422282,13157374.049242496,13186199.618171869,13213412.099279394,13239098.253129588,13263340.57322335,13286217.448731575,13307803.331160674,13328168.890584748,13347381.178986548,13365503.784012485,13382596.98353027,13398717.893587546,13413920.616524596,13428256.380522627,13441773.677306354,13454518.393550333,13466533.939286482,13477861.369911797,13488539.504671512,13498605.039498318,13508092.655704336,13517035.123606533,13525463.401989924,13533406.73284961,13540892.731876303,13547947.474708028,13554595.579101035,13560860.283169838,13566763.519752149,13572325.98717774,13577567.216420006,13582505.634926824,13587158.627144944,13591542.591967966,13595672.997174243,13599564.431053363,13603230.651321352,13606684.631362215,13609938.604093576,13613004.10346841,13615892.003659416,13618612.556291072,13621175.42541916,13623589.720836222,13625864.029367832,13628006.444499046,13630024.594466368,13631925.668585164,13633716.442378638,13635403.301034257,13636992.261754384,
Tanzania,21.0,74.88585016473317,134.47626215974478,200.3751156678756,273.2502102952328,353.8400326013197,442.9612321630376,541.5168955867995,650.5056935797278,771.0319909212093,904.317028325759,1051.7112969226582,1214.7082062487118,1394.9591950045299,1594.290454080911,1814.7214063944896,2058.4851402533704,2328.0510012074637,2626.1495725941318,2955.8002892393447,3320.3419547831854,3723.466505152551,4169.2563171257425,4662.2254302247175,5207.36515161844,5810.194438128974,6476.815564517244,7213.97570104377,8029.134910411477,8930.541286725405,9927.314044969684,11029.535236032993,12248.351094449243,13596.084053535777,15086.356348447229,16734.22657914125,18556.340546492756,20571.09763450327,22798.834575268284,25262.028249335905,27985.519290123815,30996.758909024822,34326.0810015548,38007.00198671229,42076.55149996138,46575.63651263631,51549.44195930359,57047.87255897172,63126.038067726186,69844.78685047326,77271.29248883123,85479.69747910934,94551.81971609405,104577.92671849212,115657.58346880604,127900.57981754003,141427.94371596322,156373.04668622903,172882.80795128716,191119.0040287665,211259.69008752386,233500.73909649818,258057.50526455193,285166.6149107752,315087.8915474941,348106.41344000853,384534.7092707387,424715.08238440467,469022.0664170225,517864.99707500904,571690.6845731513,630986.1691689194,696281.5292626491,768152.7050328286,847224.286812104,934172.2121544727,1029726.2950756593,1134672.4966609494,1249854.8334711052,1376176.794198649,1514602.1232955742,1666154.8060422903,1831918.0687275287,2013032.19822253,2210690.9615071225,2426136.4044901943,2660651.808571004,2915552.581874367,3192174.9051956264,3491861.972450128,3815947.715677718,4165738.018789623,4542489.470414756,4947385.841729758,5381512.638301915,5845830.169462389,6341145.752014237,6868085.838204042,7427068.908082765,8018280.185892482,8641649.139163105,9296830.893847683,9983192.515903097,10699804.950912721,11445441.4820685,12218582.902522137,13017429.687155006,13839921.01500024,14683759.9902593,15546444.528468737,16425302.695907889,17317531.45884026,18220237.465241514,19130478.510692317,20045304.57316001,20961796.940532017,21877104.696503192,22788477.622738283,23693294.818108503,24589088.85686496,25473565.1012086,26344616.30253583,27200332.60937624,28039007.27457931,28859138.505648315,29659427.801962767,30438775.406872623,31196273.268899888,31931196.004029162,32642990.4038164,33331263.802432835,33995771.74822487,34636405.307082824,35253178.24308112,35846214.35328187,36415735.119072825,36962047.83432984,37485534.321925625,37986640.31167833,38465865.54704347,38923754.63620957,39360888.63837569,39777877.45436471,40175352.90051671,40553962.53243152,40914364.0991035,41257220.68663745,41583196.400987536,41892952.6540653,42187144.909539826,42466419.941602506,42731413.47396902,42982748.235598564,43221032.33423433,43446857.96236773,43660800.35755099,43863417.02015343,44055247.136805035,44236811.197931014,44408610.77469567,
Sierra Leone,64.0,241.63925353525786,438.0740331464375,655.2908751926317,895.4857948487994,1161.0862741911671,1454.7755141962232,1779.519222150344,2138.5951619650464,2535.6257377000047,2974.6139308929023,3459.9829655200997,3996.619964668214,4589.924047548921,5245.859339033338,5971.0132939297155,6772.660864715127,7658.835063857713,8638.404501112514,9721.158538817584,10917.900659719993,12240.550977318002,13702.258337292298,15317.523090490908,17102.331200047545,19074.300566717855,21252.840558629265,23659.325434223418,26317.282728386504,29252.597282145885,32493.731813194354,36071.9645912554,40021.64483667242,44380.46626712926,49189.75847470545,54494.79666748622,60345.12811006298,66794.9147321323,73903.29028830932,81734.72762896311,90359.41530086238,99853.63572304892,110300.13981251814,121788.51230462712,134415.51246415637,148285.3859203097,163510.1278746774,180209.68153927545,198512.05934587106,218553.35321134562,240477.62248198982,264436.6249353416,290589.3612038291,319101.41238474887,350144.0270123951,383892.9411760309,420526.895465216,460225.8374705051,503168.78184516396,549531.3378409023,599482.9034691297,653183.5473218178,710780.6318462873,772405.2216728441,838168.3667545768,908157.3603039455,982432.0870692645,1061021.589759666,1143920.9988429989,1231088.9656735212,1322445.7301433403,1417871.9419848504,1517208.3329123005,1620256.298903384,1726779.4108290246,1836505.8476249739,1949131.685660364,2064324.9455821945,2181730.261947641,2300974.0324508566,2421669.860241721,2543424.1142940163,2665841.4368058713,2788530.038602969,2911106.636576568,3033200.9228183217,3154459.4852227513,3274549.1140382793,3393159.471992448,3510005.130486018,3624826.9756535096,3737393.0491333515,3847498.8506617937,3954967.177377833,4059647.5417984696,4161415.2870206027,4260170.373863491,4355836.018616095,4448357.142643109,4537698.723276519,4623844.101445126,4706793.261659724,4786561.13022018,4863175.913890543,4936677.499968381,5007115.936317296,5074549.995967074,5139045.837525019,5200675.765501462,5259517.100363072,5315651.134441894,5369162.20220392,5420136.835851894,5468663.015485799,5514829.506546949,5558725.273637588,5600438.9734368045,5640058.513088058,5677670.673396906,5713360.788640157,5747212.478647157,5779307.42739744,5809725.203688013,5838543.1193241505,5865836.119072789,5891676.702386,5916134.867492709,5939278.081170976,5961171.264252517,5981876.797594533,6001454.538418176,6019961.852264996,6037453.6519865515,6053982.447652719,6069598.401419966,6084349.389000888,6098281.065095668,6111436.931960901,6123858.410920975,6135584.914226349,6146653.919173692,6157101.042745869,6166960.114419357,6176263.249026102,6185040.920063127,6193322.029309056,6201133.977874124,6208502.732499,6215452.892622232,6222007.753837585,6228189.370063109,6234018.613434014,6239515.232156241,6244697.905949362,6249584.299407193,6254191.113399956,6258534.13417426,6262628.280418678,6266487.6481023785,6270125.553698057,
Suriname,18.0,113.68659333743668,219.46257068281318,336.38327623091317,465.6125580124715,608.4335062142366,766.2601513966139,940.6502110208214,1133.3189310011785,1346.154092567015,1581.2322440906178,1840.8362098704063,2127.4739211116253,2443.8985834299947,2793.130231592043,3178.478603390557,3603.567328168792,4072.35934270644,4589.1833758699095,5158.761335074532,5786.236333778388,6477.201048693147,7237.725726831657,8074.385725383472,8994.287430082455,10005.091929700287,11115.035396905474,12332.944938663948,13668.24851378065,15130.977335979689,16731.75909260326,18481.799436046957,20392.85060473237,22477.16407600771,24747.425412058812,27216.668868808796,29898.169988712827,32805.31433936037,35951.44127382717,39349.66224295334,43012.65419515482,46952.42956373399,51180.08572360824,55705.53828513374,60537.24404978159,65681.92108426926,71144.27430334836,76926.73654418919,83029.23555718562,89448.99753386481,96180.39720951246,103214.86363660122,110540.84898969266,118143.86526133299,126006.59071280644,134109.04525794022,142428.830747148,150941.42876606502,159620.54634992743,168438.49779624175,177366.61018755857,186375.6387610486,195436.17911551625,204519.06418440084,213595.73550375178,222638.5798224465,231621.22459681815,240518.78807920206,249308.0819123538,257967.765862681,266478.45602018567,274822.78870488936,282985.44642805564,290953.1464743498,298714.5996522745,306260.443980588,313583.15720925154,320676.9536230852,327537.6694080569,334162.6400315119,340550.5735343361,346701.4224520248,352616.2565163785,358297.13862599625,363747.0053732675,368969.55310782645,373969.1307272021,378750.6400574053,383319.4425267448,387681.27470099565,391842.1709003252,395808.39287651697,399586.3672654855,403182.62933756807,406603.77344182524,409856.4094264793,412947.124516589,415882.4505121626,418668.83557246876,421312.6203475446,423820.01796510594,426197.09753415093,428449.7707617276,430583.7813557943,432604.6969408201,434517.90299170424,436328.5989958861,438041.79587680066,439662.3152570401,441194.78958350146,442643.66368228605,444013.19685758476,445307.466060695,446530.3694075329,447685.630447892,448776.8026383935,449807.27429171035,450780.27365905826,451698.8742676673,452566.0003192401,453384.4321852968,454156.8119178131,454885.6487365698,455573.32449342427,456222.0990331772,456834.11550013913,457411.40548952034,457955.8941205819,458469.40492417477,458953.6646325031,459410.3077698135,459840.8811305111,460246.84805576276,460629.592586873,460990.4234225596,461330.5777459846,461651.22486677434,461953.4697276076,462238.3562329141,462506.8704623694,462759.94370059145,462998.4553509012,463223.23569456494,463435.06853066676,463634.6936776762,463822.80935577734,464000.074449656,464167.1106554623,464324.504519786,464472.8093731148,464612.547164493,464744.21019869606,464868.2627816571,464985.14278095437,465095.2631002044,465199.0130794007,465296.75981365563,465388.8494034238,465475.6081415024,465557.34362332633,
Djibouti,56.0,584.293979635302,1167.786639765229,1812.092558254189,2523.363789605614,3308.333921586628,4174.364092335959,5129.490650686744,6182.47400484445,7342.8480758128135,8620.969568030756,10028.066101881868,11576.281981942891,13278.720126234733,15149.478336854252,17203.678011175543,19457.482446842863,21928.10234484515,24633.785147949304,27593.784769808142,30828.30798760529,34358.43353563128,38205.999899522954,42393.45790555897,46943.68452070336,51879.75486993609,57224.67038198406,63001.04223074962,69230.73086806682,75934.44443781351,83131.3011834519,90838.36352949856,99070.15420875128,107838.16749109543,117150.39088918034,127010.85468589567,137419.22779059448,148370.47866881825,159854.61922180397,171856.5474286754,184356.0013249099,197327.6326088133,210741.20309004668,224561.90166252942,238750.77390215438,253265.2511801295,268059.7617388363,283086.4028193489,298295.6508850347,313637.0862440823,329060.1086633782,344514.6256355213,359951.6889346842,375324.0714463932,390586.76975916384,405697.4256488461,420616.664215358,435308.34837020945,449739.7527835906,463881.6622963287,477708.4020241765,491197.8071640962,504331.1414107415,517092.9725359251,529471.0135834217,541455.9381464492,553041.1770420836,564222.7029573005,574998.8090878366,585369.8863152885,595338.2031364525,604907.6903911236,614083.7396499768,622873.0043021417,631283.2186720028,639323.0266196905,647001.8251343721,654329.6205186432,661316.8973343532,667974.5007576855,674313.5310450025,680345.2495141216,686080.9957518025,691532.1150697223,696709.8952345257,701625.5122531484,706289.9839352545,710714.1308060263,714908.543324109,718883.5553503296,722649.2225109903,726215.3054238138,729591.2569645898,732786.2131826286,735808.9874144228,738668.0670885827,741371.6129384716,743927.4602698943,746343.1219323676,748625.7927973343,750782.355412111,752819.3867297416,754743.1654973093,756559.6804134506,758274.6390030954,759893.4761687898,761421.364077767,762863.2210258079,764223.7214018179,765507.3049646037,766718.1864206565,767860.364890634,768937.6329611244,769953.5860311743,770911.6308888859,771814.9946115752,772666.732762179,773469.7376491578,774226.7461401612,774940.3472418704,775612.9894681684,776246.9877821541,776844.530442882,777407.685384862,777938.4064834521,778438.539434522,778909.8274369807,779353.9165933861,779772.361048986,780166.627921843,780538.1019511701,780888.089964488,781217.8250875616,781528.4707695948,781821.1245917879,782096.8218862046,782356.5391699546,782601.1973977386,782831.6650471613,783048.7610414642,783253.2575143628,783445.8824327945,783627.3220719778,783798.2233645836,783959.1961203533,784110.8151140664,784253.6220813134,784388.1275823049,784514.8127753249,784634.1310951025,784746.5098201149,784852.3515778302,784952.0357455122,785045.9197795055,785134.3404788267,785217.615156497,785296.0427686246,785369.9049648357,785439.467079606,785504.9790801466,
Lithuania,79.0,280.34159126999475,502.95921435516425,749.0930483077789,1021.217342079854,1322.0644834255158,1654.6514220887434,2022.3087207168398,2428.712426149953,2877.919027083406,3374.4036710775504,3923.1021749078704,4529.456737418901,5199.465964595199,5939.739310210226,6757.556394732092,7660.931385157574,8658.682779181465,9760.508853982177,10977.069022070766,12320.071288943604,13802.365953986045,15438.045536403522,17242.550959031494,19232.783692831224,21427.223433530038,23846.050841409462,26511.274285291485,29446.85930745787,32678.859480111587,36235.54625090137,40147.53502313685,44447.904769354864,49172.306662860035,54359.05681326922,60049.208410540174,66286.59591567745,73117.84373660904,80592.33229568932,88762.1111104068,97681.74912444442,107408.11323432563,118000.06306670816,129518.05263174414,142023.63002743234,155578.826163584,170245.4292964795,186084.14091350517,203153.61923231627,221509.4108654282,241202.7925246183,262279.5371580536,284778.6330103099,308730.98970895575,334158.17291743495,361071.2097367909,389469.515393284,419339.9887602398,450656.32406623475,483378.5802463824,517453.040853205,552812.3869628522,589376.1930941264,627051.7408018103,665735.1307153048,705312.6598677535,745662.4196864998,786656.062055754,828160.6726273772,870040.6902005571,912159.8118395326,954382.8281814578,996577.3396631725,1038615.3125517878,1080374.447522258,1121739.337899117,1162602.407364344,1202864.6274202992,1242436.0210642868,1281235.9635061044,1319193.299673769,1356246.2977105228,1392342.4608982638,1427438.221568122,1461498.5391631254,1494496.4265871486,1526412.4177313277,1557234.0038792882,1586955.0469676016,1615575.1878500902,1643099.2572314034,1669536.7018070933,1694901.0304556338,1719209.287150565,1742481.5540420387,1764740.4872822026,1786010.8881454705,1806319.3081694595,1825693.6901540454,1844163.0429011064,1861757.1489220883,1878506.304329473,1894441.0875319436,1909592.1566874254,1923990.0724104736,1937665.144679836,1950647.3015833853,1962965.9777513603,1974650.021155887,1985727.6158287835,1996226.2193391211,2006172.5131351324,2015592.3643741757,2024510.797947782,2032951.9773273962,2040939.1931946387,2048494.8587862195,2055640.511078523,2062396.81683854,2068783.5828553168,2074819.769789336,2080523.5088282702,2085912.1208603948,2091002.1374013834,2095809.3232424455,2100348.699954246,2104634.5705305487,2108680.5443574223,2112499.562697235,2116103.924041943,2119505.3096887236,2122714.8088944736,2125742.94389094,2128599.6942934603,2131294.521134141,2133836.3902909085,2136233.795275131,2138494.7793017235,2140626.9567359914,2142637.5337792668,2144533.3284086357,2146320.7895812024,2148006.015686555,2149594.772258775,2151092.508949633,2152504.375784292,2153835.23868286,2155089.6943099117,2156272.0842333618,2157386.5084253927,2158436.8381261756,2159426.7281103833,2160359.628291347,2161238.794832585,2162067.300660892,2162848.0454508583,2163583.765131924,2164277.040857291,2164930.307558039,2165545.862022073,
Saudi Arabia,2370.0,28100.77688098363,56506.512407351926,87855.04431321588,122438.78527823291,160576.48688345234,202615.01983523538,248931.14088382976,299933.20909228775,356062.80517432024,417796.19847802445,485645.5939280639,560160.079640958,641926.1825070105,731567.9347279669,829746.3175021487,937157.9694787064,1054533.01429297,1182631.8634562935,1322240.8514540468,1474166.5628585466,1639228.7268208442,1818251.578454521,2012053.6230590846,2221435.7886713454,2447168.01555595,2689974.4074710147,2950517.157022901,3229379.552759806,3527048.473785161,3843896.871925579,4180166.823888457,4535953.797689497,4911192.8100318145,5305647.148701151,5718900.286765112,6150351.52508791,6599215.77142827,7064527.695704548,7545150.30979192,8039787.816893108,8547002.375771994,9065234.244245796,9592824.617912276,10128040.374573272,10669099.877226299,11214198.964542698,11761536.445747528,12309338.072022697,12855878.720780991,13399502.098434815,13938637.684034212,14471814.706071733,14997673.086941216,15514971.407351315,16022592.038875911,16519543.655939944,17004961.397492766,17478104.986062985,17938355.12083109,18385208.460525423,18818271.5259283,19237253.719988078,19641959.813634265,20032282.114128098,20408192.57391889,20769734.691234525,21117015.728660952,21450199.214001864,21769497.685841873,22075165.91213932,22367494.522274397,22646804.110724743,22913439.818783015,23167766.393759657,23410163.71535345,23641022.77448774,23860742.086353682,24069724.5133852,24268374.471379444,24457095.485586315,24636288.083341833,24806347.986433707,24967664.573729668,25120619.590840332,25265586.089801744,25402927.561059706,25532997.25312232,25656137.640910935,25772680.03446737,25882944.30307069,25987238.737308096,26085859.95124892,26179092.91271859,26267211.01374317,26350476.199142512,26429139.163159303,26503439.5551471,26573606.24741773,26639857.610680282,26702401.81348868,26761437.146096367,26817152.33982349,26869726.910152048,26919331.49302025,26966128.186280146,27010270.893404305,27051905.65742681,27091170.998301033,27128198.238634456,27163111.825026248,27196029.64211291,27227063.315569505,27256318.509096816,27283895.209397502,27309888.002693027,27334386.340991173,27357474.7978552,27379233.31476029,27399737.436817843,27419058.539005082,27437264.04228294,27454417.620493475,27470579.397594128,27485806.135853656,27500151.41510719,27513665.803985715,27526397.02192552,27538390.09419645,27549687.498307344,27560329.30386515,27570353.304583266,27579795.144114982,27588688.434929345,27597064.87131483,27604954.3361962,27612385.0024036,27619383.42905797,27625974.65113458,27632182.264560536,27638028.51172103,27643534.35242899,27648719.54118742,27653602.692886256,27658201.347948562,27662532.035793673,27666610.32851662,27670450.899565287,27674067.57359678,27677473.374720335,27680680.571879525,27683700.723916855,27686544.719264533,27689222.81499884,27691744.672624838,27694119.39311755,27696355.548592187,27698461.21345115,27700443.992605608,27702311.049078677,
Turkey,5440.0,28392.899811244166,53759.41925113894,81789.9679075544,112760.18353781966,146973.30818458094,184762.7491726336,226494.83322939044,272571.7587978421,323434.74517060333,379567.3774344327,441499.14021132095,509809.12709611945,585129.9059708845,668151.5116263768,759625.5229254437,860369.1777412173,971269.4540382578,1093287.033230182,1227460.0398165286,1374907.432659233,1536831.8919998757,1714522.0251232623,1909353.6801184965,2122790.1458505723,2356380.932551756,2611758.8890557694,2890635.322079962,3194792.782495792,3526075.19976836,3886375.0540994885,4277617.273653498,4701739.648115298,5160669.592113065,5656297.187101871,6190444.634067318,6764832.370516932,7381042.2366548395,8040478.428216458,8744327.17031925,9493516.036982479,10288674.35565842,11130096.188461678,12017707.225179272,12951037.285821753,13929199.939243862,14950880.207159633,16014331.85606664,17117384.433160875,18257460.573289238,19431603.275988042,20636512.359706055,21868589.14383022,23123987.740701932,24398671.324836794,25688471.413851973,26989148.23107452,28296450.266856603,29606171.273834806,30914203.26344116,32216584.25055862,33509539.882808287,34789518.32783174,36053218.264910005,37297609.89987778,38519949.3210593,39717786.60370825,40888968.25504939,42031634.66612789,43144213.26005894,44225408.13516593,45274186.88880137,46289765.09011951,47271589.43897862,48219319.7952179,49132810.67469135,50012092.70149064,50857354.20481511,51668923.37756028,52447251.09083384,53192894.60664133,53906502.25868735,54588799.196008205,55240574.20064533,55862667.64665101,56455960.50403571,57021364.477791004,57559813.03434952,58072253.65459802,58559640.72277971,59022929.49580701,59463070.696058884,59881005.99313233,60277664.02395572,60653957.108796634,61010778.46049518,61348999.92480818,61669470.1378163,61973013.090404965,62260427.03533847,62532483.697105415,62789927.75445865,63033476.55181961,63263820.016431384,63481620.7432249,63687514.23107921,63882109.24544133,64065988.27477227,64239708.08838052,64403800.35414624,64558772.30140733,64705107.45534132,64843266.38624823,64973687.45999694,65096787.674692035,65212963.40259237,65322591.23364783,65426028.74002984,65523615.27704632,65615672.762766056,65702506.42281912,65784405.5598444,65861644.253732026,65934482.08952078,66003164.82699367,66067925.06970745,66128982.90463614,66186546.51196055,66240812.767067365,66291967.79925113,66340187.54628691,66385638.2711771,66428477.065202475,66468852.325692795,66506904.2105373,66542765.07652558,66576559.890901245,66608406.62915045,66638416.64914725,66666695.049504094,66693341.009247914,66718448.11015006,66742104.64366679,66764393.9011005,66785394.44956689,66805180.39327338,66823821.62106701,66841384.04111635,66857929.80301891,66873517.507869,66888202.40756073,66902036.59244843,66915069.170130454,66927346.43326797,66938912.0183173,66949807.05697965,66960070.31705636,66969738.337450154,66978845.55506441,66987424.42350099,
