Country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,
Uruguay,3470256.0,3470038.8427633015,3469798.729538936,3469533.2391738947,3469239.6963915997,3468915.1453915047,3468556.3207844133,3468159.615566921,3467721.0458814874,3467236.2122767754,3466700.2570981323,3466107.817650543,3465452.974826506,3464729.1967715826,3463929.277088302,3463045.2672178345,3462068.402494257,3460989.0213811495,3459796.4773937175,3458479.043193821,3457023.8063670252,3455416.556347553,3453641.662067451,3451681.9399027424,3449518.511559442,3447130.651589316,3444495.624668004,3441588.512173263,3438382.0291803526,3434846.3315184647,3430948.8145265398,3426653.905028152,3421922.847177804,3416713.4874889837,3410980.058917934,3404672.9717278243,3397738.615032146,3390119.174236566,3381752.477869188,3372571.87512502,3362506.164991581,3351479.5831505833,3339411.8636881085,3326218.3980547357,3311810.4981611343,3296095.7994896257,3278978.810338408,3260361.6394866444,3240144.9181333045,3218228.9353672345,3194515.0033378913,3168907.062453425,3141313.519787292,3111649.331923493,3079838.288945753,3045815.4776932695,3009529.8677289085,2970946.9491889873,2930051.3370801653,2886849.236067588,2841370.649133051,2793671.204644491,2743833.4819652946,2691967.7102926294,2638211.7453367235,2582730.2545615323,2525713.0658919592,2467372.6883674716,2407941.0679526483,2347665.66244476,2286804.978779019,2225623.7550470293,2164387.985441945,2103359.9742336296,2042793.636446537,1982930.2198874946,1923994.5846997248,1866192.1597258206,1809706.6398176407,1754698.4381178585,1701303.8726992486,1649635.053079191,1599780.3694080554,1551805.4924186657,1505754.7857806608,1461653.0239518688,1419507.3081394404,1379309.0926586739,1341036.248383856,1304655.0792323486,1270122.2702549829,1237386.6999490676,1206391.1009704855,1177073.5731791677,1149368.9081786922,1123209.7519587257,1098527.6098705332,1075253.6861684425,1053319.5897457795,1032657.9109907496,1013202.6806760129,994889.7324096991,977656.9761485413,961444.5977479023,946195.1959912988,931853.8660244945,918368.240821478,905688.4961844251,893767.3275020855,882559.9062806185,872023.8151920763,862118.9742103411,852807.5560229284,844053.8947860447,835824.3909190027,828087.4147916685,820813.208669436,813973.7903285132,807542.8578289778,801495.6974449236,795809.0938765198,790461.2440321208,785431.6747619554,780701.163934136,776251.6655678973,772066.2383774513,768128.9791750667,764424.9585586665,760940.1615349271,757661.4305848591,754576.412856667,751673.5099775859,748941.8313190411,746371.1498541173,743951.8609540447,741674.9436544365,739531.9243602959,737514.8428429706,735616.2203971763,733829.0300385394,732146.668525175,730562.9302000331,729071.9824739698,727668.3428820528,726346.8575576467,725102.6811149685,723931.2577699388,722828.3036471561,721789.7902131237,720811.9287501288,719891.1558011572,719024.1195265406,718207.6668927403,717438.8316913717,716714.823265815,716033.0159598797,715390.9392092866,714786.2682454053,714216.8153738824,713680.5217660797,
New Zealand,4812701.0,4812373.1563591,4812010.660017903,4811609.857355891,4811166.711556006,4810676.762872044,4810135.084882561,4809536.236322277,4808874.208086326,4808142.365060172,4807333.382021627,4806439.173431991,4805450.816329246,4804358.465893357,4803151.26289093,4801817.232505395,4800343.173811099,4798714.539205093,4796915.3030840885,4794927.819083028,4792732.665174783,4790308.475944006,4787631.761528348,4784676.712583942,4781414.9911627425,4777815.506813583,4773844.178774767,4769463.683580772,4764633.189705699,4759308.080323882,4753439.66494829,4746974.885254552,4739856.014486191,4732020.359620243,4723399.968733802,4713921.351284435,4703505.224640912,4692066.287916975,4679513.052849515,4665747.727392529,4650666.18369419,4634158.0304666655,4616106.806594678,4596390.3260307675,4574881.2009574,4551447.574515591,4525954.0884550605,4498263.118711452,4468236.304585482,4435736.3915681625,4400629.405154421,4362787.159432402,4322090.086915055,4278430.370819473,4231715.331268301,4181870.9879254466,4128845.717338524,4072613.885061366,4013179.302537539,3950578.353129392,3884882.6274877074,3816200.874769103,3744680.113404446,3670505.7668916923,3593900.6972655454,3515123.089215263,3434463.20432677,3352239.0185858323,3268790.9005346918,3184475.5394224953,3099659.30942555,3014711.3781030006,2929996.8263611845,2845870.0589557593,2762668.761728172,2680708.6151845176,2600278.9225161406,2521639.2517879927,2445017.127446786,2370606.761957008,2298568.752757383,2229030.6266745874,2162088.1464914912,2097807.1923275874,2036226.081287846,1977358.1990635023,1921194.795085236,1867707.8389023028,1816852.841551106,1768571.5673294747,1722794.581816316,1679443.5956972362,1638433.5857420827,1599674.6775740867,1563073.794517819,1528536.0782810135,1495966.0904578392,1465268.8198977439,1436350.5057450538,1409119.2989699894,1383485.784608344,1359363.3778406745,1336668.6154512384,1315321.3581402446,1295244.9167539105,1276366.1173664539,1258615.3154139752,1241926.3692554084,1226236.581702709,1211486.6165077998,1197620.3963813505,1184584.9871492933,1172330.472534057,1160809.8231565491,1149978.762118808,1139795.6298091712,1130221.2496135386,1121218.7956691312,1112753.6640684807,1104793.3481044308,1097307.317462192,1090266.9039388238,1083645.1903887296,1077416.9067829181,1071558.3300403936,1066047.1905544985,1060862.582661399,1055984.8811344695,1051395.661728556,1047077.6271505917,1043014.5368330503,1039191.1414336525,1035593.1210261169,1032207.0274326485,1029020.2298687149,1026020.8642031966,1023197.7852772326,1020540.5223377777,1018039.237165207,1015684.6850451835,1013468.1780262815,1011381.5506089649,1009417.1275686204,1007567.6938491808,1005826.4663474801,1004187.0674682877,1002643.5003598301,1001190.1257082456,999821.639975293,998533.0550203515,997319.6789789742,996177.098353391,995101.1611879034,994087.9613168105,993133.823571592,992235.2899096742,991389.1063913172,990592.2109579941,989841.7219799374,989134.9274530031,
Netherlands,17069562.0,17058686.789132845,17046678.03666698,17033420.398182403,17018787.411529638,17002640.561532427,16984828.297076736,16965185.0056334,16943529.95446984,16919666.20178119,16893379.50449099,16864437.229386926,16832587.295840614,16797557.178709824,16759053.006637432,16716758.798520407,16670335.890044933,16619422.612960508,16563634.289448626,16502563.628770875,16435781.61459607,16362838.976813605,16283268.355787802,16196587.267605256,16102301.979782483,15999912.402530834,15888918.088628223,15768825.412171623,15639155.976794293,15499456.228311894,15349308.246562049,15188341.587075178,15016245.923634239,14832784.275642745,14637806.410683969,14431261.88932521,14213212.30462016,13983842.05862422,13743466.98169123,13492540.256881723,13231655.007895084,12961543.04307791,12683069.567599362,12397223.554879256,12105103.967502387,11807902.21195389,11506881.307298794,11203352.604519602,10898650.973360235,10594109.487200882,10291034.652591238,9990683.172337197,9694241.121895915,9402806.178196508,9117373.46158473,8838825.188210065,8567924.120297698,8305310.795321525,8051504.098689861,7806904.741369457,7571801.187058968,7346377.480099357,7130722.384283597,6924839.38300356,6728657.0904374635,6542039.61981826,6364796.770280815,6196693.571911535,6037459.2839252995,5886795.4009458395,5744382.995517408,5609889.075926446,5482972.122986625,5363286.821609707,5250488.01769292,5144233.992336967,5044189.110087286,4950025.917075208,4861426.759358763,4778084.9884423595,4699705.82349227,4626006.898222696,4556718.588107982,4491584.111835116,4430359.493176326,4372813.380539252,4318726.767015324,4267892.646512537,4220115.592407841,4175211.32152159,4133006.2106579226,4093336.812318923,4056049.3603061577,4020999.272532896,3988050.6700528613,3957075.895863423,3927955.05772414,3900575.581017275,3874831.7818147736,3850624.4599460806,3827860.508524663,3806452.5453180894,3786318.563683302,3767381.608973258,3749569.4512865203,3732814.30530675,3717052.5523000057,3702224.471422947,3688274.002483297,3675148.521504352,3662798.6226700023,3651177.9124638704,3640242.8251145217,3629952.447740061,3620268.3530512373,3611154.444528815,3602576.8119019223,3594503.5953240236,3586904.857943268,3579752.4678686443,3573019.986203394,3566682.5628353525,3560716.838512293,3555100.8539045164,3549813.963486859,3544836.7555266707,3540150.976618476,3535739.461415687,3531586.066332477,3527675.607797649,3523993.8040337847,3520527.2206732826,3517263.219583543,3514189.9110086537,3511296.108563856,3508571.287042603,3506005.542813531,3503589.5566192125,3501314.558700615,3499172.2959736246,3497155.0013036164,3495255.3645500825,3493466.5054435283,3491781.9478932284,3490195.596358519,3488701.7129752957,3487294.8965877714,3485970.0627672556,3484722.4250463163,3483547.4775054003,3482440.9780018567,3481398.932829795,3480417.581938209,3479493.385253145,3478623.009761037,3477803.317245511,3477031.3529759287,3476304.334797708,3475619.64311715,3474974.8113084403,
Tanzania,59367783.0,59367675.2293596,59367556.04993555,59367424.25405526,59367278.50622679,59367117.329609536,59366939.091067754,59366741.9846297,59366524.01320204,59366282.96836053,59366016.40799922,59365721.63159741,59365395.65290306,59365035.16973502,59364636.53056619,59364195.69759938,59363708.20594424,59363169.11848688,59362572.975994125,59361913.74196602,59361184.74169864,59360378.594877,59359487.14110422,59358501.35763613,59357411.26839075,59356205.84345186,59354872.88805875,59353398.91985252,59351769.03337089,59349966.75036736,59347973.854365975,59345770.208123915,59343333.55202763,59340639.28140277,59337660.2009374,59334366.253550984,59330724.22116746,59326697.394923106,59322245.21127955,59317322.8508793,59311880.79675489,59305864.34732397,59299213.080286905,59291860.262812935,59283732.20226051,59274747.532685235,59264816.43144607,59253839.75768649,59241708.10845229,59228300.78418624,59213484.65522775,59197112.92284743,59179023.765248656,59159038.860762075,59136961.779655166,59112576.2351519,59085644.18632217,59055903.78326995,59023067.14932246,58986817.991848566,58946809.03862009,58902659.29729885,58853951.13587616,58800227.19436259,58740987.12668236,58675684.20142072,58603721.7663679,58524449.63160913,58437160.386890866,58341085.72680636,58235392.85687362,58119181.05648467,57991478.51811921,57851239.59491892,57697342.62013928,57528588.48182238,57343700.17733636,57141323.60142248,56920029.8483906,56678319.348766394,56414628.17375075,56127336.87413195,55814782.21588724,55475272.16436189,55107104.464193545,54708589.06318576,54278074.57565068,53813978.872561775,53314823.641478635,52779272.65172777,52206173.18765802,51594599.742556274,50943898.93110288,50253734.15288779,49524128.25860062,48755502.35176237,47948708.500778824,47105054.395223364,46226317.746589825,45314748.63467595,44373058.784591824,43404396.41707923,42412307.13334604,41400681.4080628,40373689.88532899,39335709.30430195,38291241.32978334,37244828.04930111,36200967.24452581,35164031.03196268,34138191.23749784,33127353.372112874,32135102.283609238,31164659.8943453,30218855.769528974,29300110.725534648,28410432.0722999,27551419.838462237,26724281.918209232,25929856.750601333,25168641.57240741,24440824.313299432,23746318.023897387,23084795.85506471,22455725.793367207,21858404.18905147,21291987.165066376,20755519.694889568,20247961.85922902,19768212.252014533,19315128.479846064,18887544.816972155,18484287.2555876,18104186.02795975,17746085.92083969,17408854.598171026,17091389.117195345,16792620.95260058,16511519.684253333,16247095.559572123,15998401.133458847,15764532.144722385,15544627.721568203,15337870.101994034,15143483.95697623,14960735.385733405,14788930.685807332,14627414.933243396,14475570.471179971,14332815.286576519,14198601.379984697,14072413.085980363,13953765.440060202,13842202.533916393,13737295.942470271,13638643.17175628,13545866.187117461,13458609.981353434,13376541.222338855,13299346.954286233,
Sierra Leone,7941137.0,7940781.807354975,7940389.051240161,7939954.765619894,7939474.567161432,7938943.611637964,7938356.545888428,7937707.454811088,7936989.802958654,7936196.370220766,7935319.180989129,7934349.426102738,7933277.3770868825,7932092.291857915,7930782.311025467,7929334.344076257,7927733.944495865,7925965.172864254,7924010.446927173,7921850.377568479,7919463.589672789,7916826.526486934,7913913.236685019,7910695.142636611,7907140.788977348,7903215.57022861,7898881.436590534,7894096.576959065,7888815.078494991,7882986.56266339,7876555.796997183,7869462.284248344,7861639.828821662,7853016.0827795435,7843512.075513055,7833041.7280489225,7821511.361515303,7808819.203876321,7794854.903946915,7779499.069470171,7762622.834525682,7744087.4830757305,7723744.145351651,7701433.587351953,7676986.136661798,7650221.758545241,7620950.3357224865,7588972.189642222,7554078.877690685,7516054.336153959,7474676.39304244,7429718.7189235715,7380953.249732496,7328153.12308738,7271096.156605031,7209568.872548437,7143371.056525348,7072320.844381601,6996260.209961788,6915060.799607307,6828629.94357621,6736916.662580993,6639917.432973129,6537681.476469495,6430315.27451587,6317986.021184426,6200923.747504859,6079421.869057164,5953835.959227485,5824580.63916808,5692124.575709949,5556983.642409777,5419712.449266858,5280894.534485462,5141131.598760605,5001032.18308063,4861200.291734529,4722224.413951257,4584667.358399939,4449057.268662353,4315880.111927553,4185573.8120051883,4058524.093477562,3935062.0625307104,3815463.403738177,3699949.0331746726,3588686.998356766,3481795.4148307783,3379346.1699534496,3281369.1668781783,3187856.8934992403,3098769.1293583605,3014037.5960521316,2933570.499317101,2857256.7534658196,2784969.9632952767,2716571.9373288304,2651915.9077220163,2590849.311993846,2533216.2037568167,2478859.3124677963,2427621.758852865,2379348.471511028,2333887.330264087,2291090.0676161037,2250812.9625676833,2212917.3529925626,2177269.999492837,2143743.3127437443,2112215.4844288817,2082570.5212731736,2054698.2180434351,2028494.0693915708,2003859.1385224469,1980699.8982874637,1958928.03968646,1938460.2725973816,1919218.108859648,1901127.6421074334,1884119.3264347005,1868127.7521785982,1853091.4296077706,1838952.5737421012,1825656.897478809,1813153.4135549613,1801394.240104556,1790334.4196603803,1779931.743229819,1770146.586216961,1760941.7498048933,1752282.3140000345,1744135.496645074,1736470.5221835277,1729258.4969550832,1722472.2927908008,1716086.4371806553,1710077.0103844726,1704421.5488078997,1699098.9544642665,1694089.4100681532,1689374.29949553,1684936.1331475498,1680758.4782053076,1676825.893335755,1673123.867248354,1669638.7615129962,1666357.7566121274,1663268.8018065994,1660360.567841166,1657622.4028621842,1655044.2910540537,1652616.8137868291,1650331.1132733687,1648178.858550819,1646152.2135675154,1644243.8072106193,1642446.7051960088,1640754.383770803,1639160.7050005046,1637659.8936036758,
Suriname,584639.0,584447.9593612668,584236.8476647981,584003.5816289022,583745.8673684715,583461.1803526754,583146.7437525172,582799.50507143,582416.1110398048,581992.8807286046,581525.7768748021,581010.3754490246,580441.8335447053,579814.8556787205,579123.658775059,578361.936065713,577522.8202928861,576598.846721269,575581.916739132,574463.2627378008,573233.4153567392,571882.1742399543,570398.5846493909,568770.9200751381,566986.6747497917,565032.5675008921,562894.559957728,560557.8922547697,558007.1395787501,555226.2931138177,552198.8688171955,548908.0488798085,545336.8571319082,541468.3733168446,537285.9873927636,532773.6953447754,527916.4354982495,522700.4632239129,517113.75899045065,511146.46221309906,504791.3200216313,498044.1376599218,490904.2137835283,483374.74137129553,475463.15335110814,467181.3912637489,458546.07636420813,449578.5638959136,440304.86580629926,430755.43277097243,420964.7935019667,410971.0557577654,400815.28319681645,390540.7691243086,380192.23535616,369814.98750250204,359454.0619916374,349153.4002482914,338955.0821303611,328898.64591200004,319020.5168167945,309353.55866192625,299926.75493530085,290765.0187607321,281889.1248663802,273315.75285917823,265057.62512210343,257123.72223592168,249519.5576752698,242247.494289625,235307.08572572627,228695.42780868273,222407.50874765808,216436.54802228458,210774.31524966419,205411.4259091263,200337.6098844075,195541.94986931948,191013.09145027763,186739.42485151076,182709.23869580822,178910.8492601238,175332.70694479166,171963.4818365747,168792.13147274204,165807.9528627462,163000.62086379726,160360.21526411123,157877.23805746046,155542.6228162372,153347.73768189465,151284.38271283265,149344.7836297341,147521.58183961702,145807.82222627068,144196.9392584916,142682.74149848206,141259.39571677588,139921.41026857655,138663.61838537955,137481.16166507674,136369.47358513338,135324.2636118291,134341.50167830873,133417.4032093133,132548.41499522832,131731.20119699702,130962.63059238391,130239.76402853937,129559.84286123204,128920.2777480721,128318.63831840643,127752.64326124484,127220.15112429681,126719.15157155196,126247.75724398102,125804.19607521991,125386.80411046046,124994.01875686647,124624.37247135444,124276.48683793325,123949.0670258887,123640.89659438907,123350.8326330615,123077.80120452188,122820.79308519438,122578.85976700287,122351.10972405021,122136.70490383,121934.85745409949,121744.82664247075,121565.91598509857,121397.47054124199,121238.87439271322,121089.5482666736,120948.94732122755,120816.55905627306,120691.90136605913,120574.52069735782,120463.99034443688,120359.90882330277,120261.8983688258,120169.60350585968,120082.68972312688,120000.84221648367,119923.76471653768,119851.17838338218,119782.82076988298,119718.44484974998,119657.81809938609,119600.72164192663,119546.9494349147,119496.30751617359,119448.61328537647,119403.69483836081,119361.39032818646,119321.54737914256,119284.02253037611,119248.68070283406,119215.39471664447,
Djibouti,979978.0,978927.3914119323,977768.3191742261,976490.0394457034,975080.8435734475,973527.993338017,971817.6568817514,969934.846765355,967863.3619511946,965585.7359020683,963083.1935180777,960335.6200053393,957321.5454456969,954018.1493418107,950401.2901234071,946445.5645256959,942124.4038623484,937410.2123975942,932274.5549946048,926688.4003966061,920622.4262369293,914047.3910953114,906934.5774898082,899256.3076848661,890986.5314543883,882101.4814382304,872580.3874921987,862406.236546573,851566.5591440247,840054.2183236573,827868.1712632873,815014.1696039025,801505.3612248722,787362.7549300132,772615.5110163874,757301.0245705716,741464.775613033,725159.9302671533,708446.6895871494,691391.3967018257,674065.4273878302,656543.9027802179,638904.274351033,621224.8393938305,603583.2492262069,586055.0717919561,568712.4654348574,551623.0119235498,534848.7452930037,518445.4000257677,502461.8884054438,486940.0042183175,471914.33998700615,457412.39423269744,443454.8412970636,430055.93228732457,417223.99360084825,404961.99242209113,393268.1417188629,382136.51795657707,371557.67132658715,361519.21226485417,352006.3616717658,343002.45728370466,334489.41078186745,326448.1131440174,318858.78857288486,311701.29864101147,304955.3996175704,298600.95659932506,292618.1184271113,286987.45636004076,281690.0762248858,276707.6989899165,272022.72226984,267618.2606171728,263478.1710532954,259587.0650940567,255930.31024218354,252494.0225735094,249265.0530680771,246230.96852329603,243380.0286358004,240701.16061318974,238183.93131427115,235818.5189111702,233595.6835510932,231506.738258085,229543.51971331995,227698.3600449154,225964.05901753227,224333.85732255972,222801.4109224455,221360.76642322494,220006.33764406195,218732.88335059118,217535.48615742242,216409.53257982733,215350.69408056347,214354.90956026645,213418.368395639,212537.49491821328,211708.93369251015,210929.5355683911,210196.3448332797,209506.5870111695,208857.65747228698,208247.1107987384,207672.65080788196,207132.1212012693,206623.49683494723,206144.8755360475,205694.47043007248,205270.60281111917,204871.69538455526,204496.26604169453,204142.92193438206,203810.3540074551,203497.33182702647,203202.69875459684,202925.36744548407,202664.31558067736,202418.5819413229,202187.26264648032,201969.5077061631,201764.51772542388,201571.54085704603,201389.86992472797,201218.8397197916,201057.82449143857,200906.23555009425,200763.51906749542,200629.1539635465,200502.6499635002,200383.54574480455,200271.40721257718,200165.82587809864,200066.4173253353,199972.8197908618,199884.69280335147,199801.71593262232,199723.58758997,199650.0239205957,199580.75774626518,199515.5375754278,199454.12669368487,199396.30227008168,199341.854550262,199290.58608215637,199242.31098416154,199196.8542768413,199154.05122783728,199113.74675562704,199075.79486264486,199040.05809427937,199006.40704674437,198974.7198860965,198944.88190659398,198916.7851150049,198890.32783052724,
Lithuania,2727572.0,2727169.638749094,2726724.828547732,2726233.1152742715,2725689.582831832,2725088.8064083927,2724424.8013358335,2723690.9670734555,2722880.0260099783,2721983.956655417,2720993.9209607523,2719900.1849483573,2718692.032862608,2717357.673948807,2715884.141840832,2714257.1859987704,2712461.1551386383,2710478.8724327255,2708291.5025067166,2705878.410332717,2703217.0123857968,2700282.620623017,2697048.28048974,2693484.6038391,2689559.598973777,2685238.5002877973,2680483.6000791863,2675254.08703916,2669505.896346589,2663191.5764121534,2656260.180362292,2648657.1908464045,2640324.4866059823,2631200.3636876713,2621219.624216794,2610313.745123326,2598411.1445141155,2585437.561797044,2571316.5667993547,2555970.217199032,2539319.8782530697,2521287.2183024203,2501795.3917834014,2480770.409816893,2458142.7005188246,2433848.8464524136,2407833.468702627,2380051.237367825,2350468.9353082418,2319067.549577452,2285844.2663402776,2250814.320361876,2214012.583036568,2175494.7942442996,2135338.3397033303,2093642.4920033638,2050528.0434836005,2006136.2903289592,1960627.3570018066,1914177.8861884337,1866978.1586803207,1819228.738523536,1771136.7704621365,1722912.0811610066,1674763.2439341124,1626893.767519037,1579498.5564743918,1532760.7723166973,1486849.195210696,1441916.1510116064,1398096.0349576466,1355504.4282957288,1314237.7817477756,1274373.611605623,1235971.1179790231,1199072.188161519,1163702.6552437993,1129873.7537491699,1097583.6974329655,1066819.2993123466,1037557.5877779356,1009767.3713572766,983410.715835046,958444.3111937975,934820.7125780828,912489.4498190694,891397.9980429033,871492.6224185978,852719.0913882202,835023.2795225132,818351.6613987156,802651.7103721239,787872.2168152448,773963.5287696114,760877.7339646389,748568.7864190514,736992.5882535907,726107.0354250795,715872.0321013392,706249.4811621307,697203.2548632659,688699.1506584501,680704.8352626852,673189.7805740052,666125.1934256735,659483.9415687689,653240.4776553682,647370.7620583848,641852.1863983071,636663.4977511667,631784.7248441759,627197.1064135592,622883.0219968555,618825.9257265037,615010.2828859342,611421.5094721767,608045.9148447196,604870.6476572491,601883.6441985558,599073.5801837284,596429.8248708268,593942.3983268028,591601.9308135913,589399.6249963307,587327.2201825274,585376.9590500313,583541.5562008126,581814.1688556502,580188.3692793072,578658.1190629168,577217.7449276134,575861.916129727,574585.6232611983,573384.158428242,572253.0966663717,571188.2785321473,570185.7938075148,569241.9662364852,568353.3392158714,567516.6623900703,566728.8790925216,565987.1145725459,565288.664959329,564630.986917638,564011.6879414853,563428.5172564423,562879.3572854357,562362.2156419253,561875.2176128117,561416.5991090157,560984.7000464973,560577.9581368992,560194.903044325,559834.1509182233,559494.3992428099,559174.4219994934,558873.0651382004,558589.2422986538,558321.9308119647,558070.1679292396,
Saudi Arabia,34455769.0,34404709.54824943,34348429.84920118,34286426.50569235,34218154.17498454,34143023.52113653,34060399.40984462,33969599.44577098,33869892.97235368,33760500.67469853,33640594.94447235,33509301.190730672,33365700.29907521,33208832.460786313,33037702.587142535,32851287.58560831,32648545.69249572,32428428.097160015,32189893.03584268,31931922.4763448,31653541.438638978,31353839.88644078,31031996.990121394,30687307.39956391,30319208.981779568,29927311.280376248,29511423.754399966,29071582.668910876,28608075.358595412,28121460.49047191,27612582.93388233,27082581.92399022,26532891.39109863,25965231.62501189,25381591.840448458,24784203.690564737,24175506.29351177,23558103.857379775,22934717.464543678,22308132.95400284,21681147.08528565,21056514.254461944,20436895.95453861,19824814.940082088,19222615.696739808,18632432.370541394,18056164.831614908,17495462.974661876,16951719.22783443,16426068.296163958,15919393.509636952,15432338.583898218,14965323.635340568,14518564.285841083,14092092.743556509,13685779.863941174,13299357.399545124,12932439.690930717,12584544.287606375,12255111.12216415,11943519.989585092,11649106.191290922,11371174.332936937,11109010.272362886,10861891.229897724,10629094.414669244,10409904.025737887,10203616.948398821,10009547.267372053,9827029.734782096,9655422.35626489,9494108.20918999,9342496.630862214,9200023.880876083,9066153.372573804,8940375.55970384,8822207.551641164,8711192.507165337,8606898.868441653,8508919.489027213,8416870.67117707,8330391.145582545,8249141.025926103,8172800.755300014,8101070.055342246,8033666.887891257,7970326.446496872,7910800.1744716475,7854854.821517685,7802271.543266988,7752845.03588337,7706382.712330185,7662703.927779785,7621639.239567844,7583029.713439169,7546726.266301466,7512589.050627949,7480486.87274934,7450296.649344032,7421902.896134864,7395197.247638363,7370078.010354867,7346449.739520503,7324222.847612412,7303313.234801812,7283641.943532473,7265134.837502179,7247722.297331722,7231338.940122599,7215923.353977695,7201417.85055776,7187768.234752062,7174923.586339626,7162836.058901097,7151460.689029221,7140755.21878709,7130679.930007694,7121197.487303044,7112272.793329006,7103872.851227725,7095966.636738311,7088524.978488133,7081520.444663785,7074927.238112529,7068721.097263013,7062879.203785664,7057380.0941893095,7052203.579628451,7047330.668249,7042743.494044698,7038425.248653968,7034360.118583493,7030533.225274089,7026930.569547544,7023538.97889963,7020346.058373209,7017340.144173005,7014510.259831254,7011846.076145639,7009337.873322538,7006976.501728921,7004753.352028226,7002660.320136386,7000689.77906163,6998834.550518615,6997087.87699947,6995443.399338656,6993895.130885418,6992437.436406003,6991065.011612517,6989772.863924513,6988556.293193651,6987410.875081155,6986332.444594004,6985317.081107999,6984361.093643283,6983461.00768908,6982613.552191311,6981815.64785275,6981064.395653034,
Turkey,83930937.0,83885164.95816901,83834608.77936189,83778778.55279201,83717136.4372982,83649092.46617745,83574000.09931207,83491151.53044198,83399772.76768017,83299018.5217767,83187966.94315736,83065614.26645659,82930869.44066489,82782548.84363037,82619371.20580673,82439952.91152783,82242803.84244472,82026324.01417178,81788801.2686122,81528410.3422098,81243213.66791774,80931164.3283663,80590111.61288649,80217809.6790218,79811929.82120597,79370076.95060511,78889810.72929294,78368671.90978755,77804214.29714134,77194042.57614185,76535856.18307608,75827499.11227995,75067015.11689392,74252707.69937737,73383203.69089213,72457518.64575227,71475122.10290273,70436000.3603837,69340713.64433956,68190444.64972828,66987035.59305861,65733010.317577034,64431579.03727047,63086623.76896856,61702662.727870986,60284794.78165862,58838622.89558343,57370160.97200443,55885725.82527352,54391819.098464094,52895003.85610127,51401780.973123424,49918470.31136877,48451101.37628763,47005317.3079148,45586295.19085401,44198684.53008558,42846564.625348434,41533420.868191,40262137.96985403,39035009.531395815,37853760.54868603,36719580.85846738,35633166.624982014,34594767.24677841,33604235.48541504,32661078.763079185,31764509.75589962,30913495.0892817,30106801.08938945,29343035.85884861,28620687.307866205,27938156.977999356,27293789.523431603,26685898.211445063,26112786.321775146,25572765.289085973,25064169.1707865,24585366.689797103,24134770.26389163,23710843.21628881,23312104.818352725,22937133.882736567,22584570.954088654,22253119.403999448,21941545.644410495,21648678.5916946,21373408.602825556,21114685.916255593,20871518.791889455,20642971.45153054,20428161.775225606,20226258.97910204,20036481.159356333,19858092.905281913,19690402.85676152,19532761.36388715,19384558.164138347,19245220.162550252,19114209.27833439,18991020.391392544,18875179.382119965,18766241.26057531,18663788.402550086,18567428.87279638,18476794.84247292,18391541.079085857,18311343.593023937,18235898.252319783,18164919.59633931,18098139.643356886,18035306.800654914,17976184.84948988,17920551.976151917,17868199.873973917,17818932.901527658,17772567.294668812,17728930.425891608,17687860.113819934,17649203.97516306,17612818.816705674,17578570.07128738,17546331.261117775,17515983.504765704,17487415.046948507,17460520.823931463,17435202.0541643,17411365.852986734,17388924.876957677,17367796.98275996,17347904.91565617,17329176.010355838,17311541.915352166,17294938.332322553,17279304.770856168,17264584.321671728,17250723.438864596,17237671.740919035,17225381.819204364,17213809.061548628,17202911.484976392,17192649.578437563,17182986.156900104,17173886.22140925,17165316.83087976,17157246.978668213,17149647.478789467,17142490.857813668,17135751.25333878,17129404.319471866,17123427.136385776,17117798.127260134,17112496.97782958,17107504.56274034,17102802.876202215,17098374.96466684,17094204.86632596,17090277.55207971,17086578.87062868,17083095.497956116,
